"planet","name","gm","radius","density","magnitude","albedo","Distance_to_planet (10^6km)","Velocity (km/s)"
"Uranus","Stephano","0.0017",16,"1.5","24.1R","0.04",0.254,8.1810227880301e-05
"Uranus","Trinculo","0.00031",9,"1.5","25.4R","0.04",0.285,3.29805897194943e-05
"Uranus","Francisco","0.00056",11,"1.5","25.0R","0.04",0.29,4.39435374402041e-05
"Uranus","Margaret","0.00042",10,"1.5","25.2R","0.04",0.308,3.69274472937998e-05
"Uranus","Ferdinand","0.00042",10,"1.5","25.1R","0.04",0.337,3.53028440948735e-05
"Uranus","Perdita","0.0012",13,"1.3","23.6V","0.070±0.006",0.371,5.68726766357e-05
"Uranus","Mab","0.0006",12,"1.3","24.6V","0.103±0.006",0.076,8.88523316638638e-05
"Uranus","Cupid","0.0002",9,"1.3","25.8V","0.070±0.006",0.09,4.71404520791032e-05
"Neptune","Triton","1427.6±1.9",1353.4,"2.059±0.005","13.54","0.719",0.354,0.0635040814560916
"Neptune","Nereid","2.06",170,"1.5","19.2R","0.155",5.513,0.000611279193868795
"Neptune","Naiad","0.013",33,"1.3","23.91","0.072",0.03,0.000658280588604383
"Neptune","Thalassa","0.025",41,"1.3","23.32","0.091",0.05,0.000707106781186548
"Neptune","Despina","0.14",75,"1.3","22.00","0.090",0.06,0.00152752523165195
"Neptune","Galatea","0.25",88,"1.3","21.85","0.079",0.07,0.00188982236504614
"Neptune","Larissa","0.33",97,"1.3","21.49","0.091",0.085,0.00197036873228756
"Neptune","Proteus","3.36",210,"1.3","19.75","0.096",0.118,0.0053361574443776
"Neptune","Halimede","0.012",31,"1.5","24.5R","0.04",5.331,4.74445445320382e-05
"Neptune","Psamathe","0.0033",20,"1.5","25.5R","0.04",5.828,2.37956295047598e-05
"Neptune","Sao","0.0045",22,"1.5","25.5R","0.04",23.54,1.38262061394551e-05
"Neptune","Laomedeia","0.0039",21,"1.5","25.5R","0.04",23.56,1.28660329843282e-05
"Neptune","Neso","0.011",30,"1.5","24.6R","0.04",48.17,1.51115154470797e-05
"Neptune","S/2004 N1","0.0003",9,"1.3","26.5V","0.10",0.105,5.34522483824849e-05
