"planet","name","gm","radius","density","magnitude","albedo","Distance (10^6km)","Distance (m)","Velocity (m/s)","Velocity (km/s)"
"Saturn","Tarqeq","0.000000",3,"2.3","23.9R","0.04",28.1,2.81e+10,0,0
"Saturn","S/2004 S7","0.000000",3,"2.3","24.5R","0.04",28.2,2.82e+10,0,0
"Saturn","S/2004 S12","0.000000",2.5,"2.3","24.8R","0.04",28.3,2.83e+10,0,0
"Saturn","S/2004 S13","0.000000",3,"2.3","24.5R","0.04",28.5,2.85e+10,0,0
"Saturn","S/2004 S17","0.000000",2,"2.3","25.2R","0.04",28.7,2.87e+10,0,0
"Saturn","S/2006 S1","0.000000",3,"2.3","24.6R","0.04",29,2.9e+10,0,0
"Saturn","S/2006 S3","0.000000",2.5,"2.3","24.6R","0.04",29.2,2.92e+10,0,0
"Saturn","S/2007 S2","0.000000",3,"2.3","24.4R","0.04",29.4,2.94e+10,0,0
"Saturn","S/2007 S3","0.000000",2,"2.3","24.9R","0.04",29.6,2.96e+10,0,0
"Uranus","Ariel","86.4±5.0",578.9,"1.592±0.092","13.70±0.04","0.39±0.04",0.191,1.91e+08,0.000672574175048677,6.72574175048677e-07
"Uranus","Umbriel","81.5±5.0",584.7,"1.459±0.092","14.47±0.04","0.21±0.02",0.271,2.71e+08,0.00054839584916379,5.4839584916379e-07
"Uranus","Titania","228.2±5.0",788.9,"1.662±0.038","13.49±0.04","0.27±0.03",0.436,4.36e+08,0.000723460085569926,7.23460085569926e-07
"Uranus","Oberon","192.4±7.0",761.4,"1.559±0.059","13.70±0.04","0.23±0.03",0.583,5.83e+08,0.000574471193932874,5.74471193932874e-07
"Uranus","Miranda","4.4±0.4",235.8,"1.214±0.109","15.79±0.04","0.32±0.03",0.129,1.29e+08,0.000184684940186749,1.84684940186749e-07
"Uranus","Cordelia","0.0030",20.1,"1.3","23.62±0.35","0.07",0.048,4.8e+07,7.90569415042095e-06,7.90569415042095e-09
"Uranus","Ophelia","0.0036",21.4,"1.3","23.26±0.25","0.07",0.057,5.7e+07,7.94719414239026e-06,7.94719414239026e-09
"Uranus","Bianca","0.0062",27,"1.3","22.52±0.24","0.065±0.010",0.061,6.1e+07,1.00816340075553e-05,1.00816340075553e-08
"Uranus","Cressida","0.0229",41,"1.3","21.58±0.11","0.069±0.007",0.06,6e+07,1.95362910161235e-05,1.95362910161235e-08
"Uranus","Desdemona","0.0119",35,"1.3","21.99±0.16","0.084±0.019",0.06,6e+07,1.40830867828517e-05,1.40830867828517e-08
"Uranus","Juliet","0.0372",53,"1.3","21.12±0.05","0.075±0.011",0.062,6.2e+07,2.44948974278318e-05,2.44948974278318e-08
"Uranus","Portia","0.1122",70,"1.3","20.42±0.05","0.069±0.008",0.07,7e+07,4.00356983560565e-05,4.00356983560565e-08
"Uranus","Rosalind","0.0170",36,"1.3","21.79±0.13","0.072±0.024",0.072,7.2e+07,1.53659074288215e-05,1.53659074288215e-08
"Uranus","Belinda","0.0238",45,"1.3","21.47±0.09","0.067±0.024",0.074,7.4e+07,1.79338122445179e-05,1.79338122445179e-08
"Uranus","Puck","0.1931",81,"1.3","19.75±0.05","0.104±0.006",0.057,5.7e+07,5.82041175368686e-05,5.82041175368686e-08
"Uranus","Caliban","0.020",36,"1.5","22.4R","0.04",0.118,1.18e+08,1.30188910980824e-05,1.30188910980824e-08
"Uranus","Sycorax","0.18",75,"1.5","20.8R","0.04",0.179,1.79e+08,3.17109853549014e-05,3.17109853549014e-08
"Uranus","Prospero","0.0066",25,"1.5","23.2R","0.04",0.225,2.25e+08,5.41602560309064e-06,5.41602560309064e-09
"Uranus","Setebos","0.0058",24,"1.5","23.3R","0.04",0.238,2.38e+08,4.93657248494942e-06,4.93657248494942e-09
"Uranus","Stephano","0.0017",16,"1.5","24.1R","0.04",0.254,2.54e+08,2.5870665599916e-06,2.5870665599916e-09
